"ID";"NameOfStation";"Line";"Longitude_WGS84";"Latitude_WGS84";"AdmArea";"District";"Year";"Month";"global_id";"geodata_center";"geoarea";
"№ п/п";"Станция метрополитена";"Линия";"Долгота в WGS-84";"Широта в WGS-84";"Административный округ";"Район";"Год";"Месяц";"global_id";"geodata_center";"geoarea";
"3";"Текстильщики";"Таганско-Краснопресненская линия";"37.73242901";"55.70881677";"Юго-Восточный административный округ";"район Текстильщики";"2023";"Апрель";"2587545988";"";"";
"4";"Щёлковская";"Арбатско-Покровская линия";"37.79874691";"55.80974166";"Восточный административный округ";"район Северное Измайлово";"2023";"Апрель";"2587545999";"";"";
"5";"Тёплый стан";"Калужско-Рижская линия";"37.50697019";"55.61863853";"Юго-Западный административный округ";"район Ясенево";"2023";"Апрель";"2587546008";"";"";
"6";"Новогиреево";"Калининская линия";"37.81742514";"55.723330";"Восточный административный округ";"район Вешняки";"2023";"Апрель";"2587546026";"";"";
"7";"Бульвар Дмитрия Донского";"Серпуховско-Тимирязевская линия";"37.57755224";"55.56967951";"Юго-Западный административный округ";"район Северное Бутово";"2023";"Апрель";"2587546038";"";"";
"8";"ВДНХ";"Калужско-Рижская линия";"37.64142125";"55.82118628";"Северо-Восточный административный округ";"Останкинский район";"2023";"Апрель";"2587546058";"";"";
"9";"Новокосино";"Калининская линия";"37.86427956";"55.74511606";"Восточный административный округ";"район Новокосино";"2023";"Апрель";"2587546072";"";"";
"10";"Автозаводская";"Замоскворецкая линия";"37.65858";"55.70801";"Южный административный округ";"Даниловский район";"2023";"Апрель";"2587546086";"";"";
"1";"Комсомольская";"Кольцевая линия";"37.65486112";"55.77574627";"Центральный административный округ";"Красносельский район";"2023";"Май";"2591775684";"";"";
"2";"Выхино";"Таганско-Краснопресненская линия";"37.81860885";"55.71545536";"Юго-Восточный административный округ";"район Выхино-Жулебино";"2023";"Май";"2591775692";"";"";
"3";"Текстильщики";"Таганско-Краснопресненская линия";"37.73242901";"55.70881677";"Юго-Восточный административный округ";"район Текстильщики";"2023";"Май";"2591775694";"";"";
"4";"Тёплый стан";"Калужско-Рижская линия";"37.50697019";"55.61863853";"Юго-Западный административный округ";"район Ясенево";"2023";"Май";"2591775697";"";"";
"5";"Щёлковская";"Арбатско-Покровская линия";"37.79874691";"55.80974166";"Восточный административный округ";"район Северное Измайлово";"2023";"Май";"2591775707";"";"";
"6";"Новогиреево";"Калининская линия";"37.81742514";"55.723330";"Восточный административный округ";"район Вешняки";"2023";"Май";"2591775714";"";"";
"7";"ВДНХ";"Калужско-Рижская линия";"37.64142125";"55.82118628";"Северо-Восточный административный округ";"Останкинский район";"2023";"Май";"2591775725";"";"";
"8";"Бульвар Дмитрия Донского";"Серпуховско-Тимирязевская линия";"37.57755224";"55.56967951";"Юго-Западный административный округ";"район Северное Бутово";"2023";"Май";"2591775738";"";"";
"9";"Домодедовская";"Замоскворецкая линия";"37.71878552";"55.61087011";"Южный административный округ";"район Орехово-Борисово Южное";"2023";"Май";"2591775752";"";"";
"10";"Новокосино";"Калининская линия";"37.86427956";"55.74511606";"Восточный административный округ";"район Новокосино";"2023";"Май";"2591775763";"";"";
"1";"Комсомольская";"Кольцевая линия";"37.65486112";"55.77574627";"Центральный административный округ";"Красносельский район";"2023";"Июнь";"2601994106";"";"";
"2";"Выхино";"Таганско-Краснопресненская линия";"37.81860885";"55.71545536";"Юго-Восточный административный округ";"район Выхино-Жулебино";"2023";"Июнь";"2601994108";"";"";
"3";"Тёплый стан";"Калужско-Рижская линия";"37.50697019";"55.61863853";"Юго-Западный административный округ";"район Ясенево";"2023";"Июнь";"2601994112";"";"";
"4";"Щёлковская";"Арбатско-Покровская линия";"37.79874691";"55.80974166";"Восточный административный округ";"район Северное Измайлово";"2023";"Июнь";"2601994127";"";"";
"5";"Текстильщики";"Таганско-Краснопресненская линия";"37.73242901";"55.70881677";"Юго-Восточный административный округ";"район Текстильщики";"2023";"Июнь";"2601994133";"";"";
"6";"Домодедовская";"Замоскворецкая линия";"37.71878552";"55.61087011";"Южный административный округ";"район Орехово-Борисово Южное";"2023";"Июнь";"2601994137";"";"";
"7";"Новогиреево";"Калининская линия";"37.81742514";"55.723330";"Восточный административный округ";"район Вешняки";"2023";"Июнь";"2601994141";"";"";
"8";"ВДНХ";"Калужско-Рижская линия";"37.64142125";"55.82118628";"Северо-Восточный административный округ";"Останкинский район";"2023";"Июнь";"2601994151";"";"";
"9";"Пушкинская";"Таганско-Краснопресненская линия";"37.60417";"55.76565";"Центральный административный округ";"Тверской район";"2023";"Июнь";"2601994154";"";"";
"10";"Бульвар Дмитрия Донского";"Серпуховско-Тимирязевская линия";"37.57755224";"55.56967951";"Юго-Западный административный округ";"район Северное Бутово";"2023";"Июнь";"2601994155";"";"";
"1";"Комсомольская";"Кольцевая линия";"37.65486112";"55.77574627";"Центральный административный округ";"Красносельский район";"2023";"Июль";"2606843140";"";"";
